Title,Image,Price(Rs),Rating,Number of Reviews,Availability,Link,Resolution,Processor Brand,Processor Type,Processor Speed,Memory Technology,Hard Drive Size,Hard Disk Description,Graphics Coprocessor,Graphics Card Description,Graphics RAM Type,Operating System,Item Weight,Model Year,Computer Memory Type,Graphics Card Ram Size,Total USB ports,Battery Average Life
"ASUS ROG Zephyrus Duo 16 (2022) Dual Screen Laptop, 16"" (40.64 cm) FHD+ 165Hz/3ms, AMD Ryzen 7 6800H, 6GB RTX3060, Gaming Laptop (32GB/2TB SSD/Windows 11/with Office/Black/2.50 Kg), GX650RMZ-LS019WS",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/413xCJaNK2L._SY300_SX300_QL70_ML2_.jpg,224990,0,0,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNTU3MjQ4MTUyNzkyNTYxOjE2ODEwMTg5ODQ6c3BfbXRmOjIwMDkxMzQ5ODI4Mzk4OjowOjo&url=%2FASUS-Zephyrus-RTX-3060-Windows-GX650RMZ-LS019WS%2Fdp%2FB0B5S41QMD%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2HIK3N7L03AWH%26keywords%3Dgaming%2Blaptop%26qid%3D1681018984%26sprefix%3D%252Caps%252C683%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,1920 x 1200 Pixels,AMD,,4.7 GHz,,2 TB,SSD,NVIDIA GeForce RTX 3060,Dedicated,GDDR6,Windows 11 Home,2 kg 500 g,2022,SODIMM,6 GB,5,8 Hours
"Acer Nitro 5 Gaming Laptop 12th Gen Intel Core i5-12500H Processor/15.6""(39.6cms) FHD(8GB/512GB SSD/RTX 3050/144Hz/Win11 Home/RGB), AN515-58,5% Instant Off on APay ICICI CreditCard (Prime only)",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41ZUZJsxSuL._SX300_SY300_QL70_ML2_.jpg,79990,4.3,163,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNTU3MjQ4MTUyNzkyNTYxOjE2ODEwMTg5ODQ6c3BfbXRmOjIwMDczMjI3MDE4Njk4OjowOjo&url=%2FAcer-i5-12500H-Processor-Graphics-AN515-58%2Fdp%2FB09WN8FF5T%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2HIK3N7L03AWH%26keywords%3Dgaming%2Blaptop%26qid%3D1681018984%26sprefix%3D%252Caps%252C683%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,1920 X 1080 (FHD) Pixels,Intel,Core i5,4.5 GHz,DDR4,512 GB,SSD,NVIDIA GeForce RTX 3050,Dedicated,GDDR6,Windows 11 Home,2 kg 500 g,,DDR4 SDRAM,4 GB,,5 Hours
"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 5600H 15.6"" (39.62cm) FHD IPS 120Hz Gaming Laptop 8GB/256GB SSD+1TB/ Windows 11 Home /NVIDIA GTX 1650 4GB/Alexa/3 Month Game Pass/Shadow Black/2.2Kg, 82K201Y9IN",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41p6k6DT0iL._SY300_SX300_QL70_ML2_.jpg,53990,4.2,354,In stock,https://www.amazon.in/Lenovo-IdeaPad-39-62cm-Windows-82K201Y9IN/dp/B0B7RT53S1/ref=sr_1_13?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681018984&sprefix=%2Caps%2C683&sr=8-13,1920 X 1080 (FHD) Pixels,AMD,Ryzen 5,3.3 GHz,,1 TB,Hybrid,NVIDIA GeForce GTX 1650,Dedicated,,Windows 11 Home,2 kg 250 g,2022,DDR4 SDRAM,4 GB,3,4.5 Hours
"ASUS TUF Gaming F15 (2022), 15.6""(39.62 cms) FHD 144Hz, Intel Core i7-12700H 12th Gen, RTX3050 Ti 4GB Graphics, Gaming Laptop (16GB/512GB SSD/90WHrs Battery/Windows 11/Gray/2.2 Kg), FX507ZE-HN038W",https://m.media-amazon.com/images/I/41yb65OSkBL._SX300_SY300_QL70_ML2_.jpg,100990,4.4,71,In stock,https://www.amazon.in/ASUS-15-6-inch-i7-12700H-RTX-3050-FX507ZE-HN038W/dp/B09TTFTFQH/ref=sr_1_14?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681018984&sprefix=%2Caps%2C683&sr=8-14,1920 X 1080 (FHD) Pixels,Intel,Core i7,2.3 GHz,,,SSD,NVIDIA GeForce RTX 3050 Ti,Dedicated,GDDR6,Windows 11 Home,2 kg 200 g,2022,SODIMM,4 GB,4,1 Hours
"HP Victus Gaming Laptop AMD Ryzen 5 5600H 15.6 inch(39.6 cm) FHD IPS Gaming Laptop (8GB RAM/512GB SSD/AMD Radeon RX 6500M Graphics(4GB GDDR6)/144Hz/9ms Response time/Backlit KB/B&O/Alexa),15-fb0777AX",https://m.media-amazon.com/images/I/41b3PmlPPuL._SX300_SY300_QL70_ML2_.jpg,59490,4.5,2,In stock,https://www.amazon.in/HP-Graphics-Response-Backlit-15-fb0777AX/dp/B0BSG1S3GN/ref=sr_1_15?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681018984&sprefix=%2Caps%2C683&sr=8-15,1920x1080 Pixels,AMD,Ryzen 5,4.2 GHz,DDR4,512 GB,SSD,AMD Radeon RX 6500M,Dedicated,GDDR6,Windows 11 Home,2 kg 370 g,,,,,
"ASUS ROG Strix G17 (2022), 17.3"" (43.94 cms) FHD 360Hz/3ms, AMD Ryzen 7-6800H, RTX3060 6GB Graphics, Gaming Laptop (16GB/1TB SSD/90WHrs Battery/Windows 11/Office 2021/Green/2.9 kg), G713RM-KH168WS",https://m.media-amazon.com/images/I/41hgPM+HMOL._SX300_SY300_.jpg,129990,4.5,27,In stock,https://www.amazon.in/ASUS-7-6800H-RTX-3060-Graphics-G713RM-KH168WS/dp/B09X5GBPPM/ref=sr_1_16?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681018984&sprefix=%2Caps%2C683&sr=8-16,1920 X 1080 (FHD) Pixels,AMD,Ryzen 7,4.7 GHz,,,SSD,NVIDIA GeForce RTX 3060,Dedicated,GDDR6,Windows 11 Home,2 kg 900 g,2022,SODIMM,6 GB,4,1 Hours
"Acer Aspire 5 Gaming Laptop, Intel Core i5 12th gen (12-Cores) (8 GB/512 GB SSD/Win11 Home/4 GB Graphics/GeForce RTX 2050) A515-57G (15.6"",1.8 Kg),5% Instant Off on APay ICICI CreditCard (Prime only)",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41dgHDQs4RL._SX300_SY300_QL70_ML2_.jpg,59999,3.9,198,In stock,https://www.amazon.in/Acer-12-Cores-Windows-Graphics-A515-57G/dp/B0B45RSRQL/ref=sr_1_17?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681018984&sprefix=%2Caps%2C683&sr=8-17,1920 x 1080 Pixels,Intel,Core i5,3.3 GHz,DDR4,512 GB,SSD,NVIDIA GeForce RTX 2050,Dedicated,GDDR6,Windows 11 Home,1 kg 800 g,,DDR4 SDRAM,4 GB,,
"Acer Aspire 5 Gaming Laptop Intel Core i5 12th gen (12-Cores) Processor (16 GB/512 GB SSD/Win11 Home/4GB Graphics/RTX 2050) A515-57G (15.6"" FHD Display, 1.8 Kg),Flat Rs: 2000 of All Bank Cards",https://m.media-amazon.com/images/I/41dgHDQs4RL._SX300_SY300_QL70_ML2_.jpg,63999,4,191,In stock,https://www.amazon.in/Acer-12-Cores-Processor-Graphics-A515-57G/dp/B0B5KTSVTG/ref=sr_1_18?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681018984&sprefix=%2Caps%2C683&sr=8-18,1920 x 1080 (FHD) Pixels,Intel,Core i5,3.3 GHz,,512 GB,SSD,NVIDIA GeForce RTX 2050,Dedicated,GDDR6,Windows 11 Home,1 kg 800 g,2022,DDR4 SDRAM,4 GB,4,
"ASUS TUF Gaming F15 (2022), 15.6"" (39.62 cms) FHD 144Hz, Intel Core i7-12700H 12th Gen, RTX3050Ti 4GB Graphics, Gaming Laptop (16GB/512GB SSD/90WHrs Battery/Windows 11/Gray/2.2 kg), FX577ZE-HN056W",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41yb65OSkBL._SX300_SY300_QL70_ML2_.jpg,94990,4.1,43,In stock,https://www.amazon.in/ASUS-i7-12700H-RTX-3050-Ti-Graphics-FX577ZE-HN056W/dp/B09WBZS834/ref=sr_1_19?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681018984&sprefix=%2Caps%2C683&sr=8-19,1920 x 1080 Pixels,Intel,Core i7,2.3 GHz,,512 GB,SSD,NVIDIA GeForce RTX 3050,Dedicated,GDDR6,Windows 11 Home,2 kg 200 g,2022,SODIMM,4 GB,,1 Hours
"ASUS TUF Gaming F15 (2021), 15.6"" (39.62 cms) FHD 144Hz, Intel Core i5-10300H 10th Gen, GTX 1650 4GB Graphics, Gaming Laptop (8GB RAM/512GB NVMe SSD/Windows 11/Black/2.30 Kg), FX506LH-HN258W",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51pwFj984WL._SX300_SY300_QL70_ML2_.jpg,54990,4.3,978,In stock,https://www.amazon.in/ASUS-i5-10300H-Graphics-Windows-FX506LH-HN258W/dp/B09RMTMBSM/ref=sr_1_20?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681018984&sprefix=%2Caps%2C683&sr=8-20,1920 X 1080 (FHD) Pixels,Intel,Core i5,2.5 GHz,,512 GB,SSD,NVIDIA GeForce GTX 1650,Dedicated,GDDR6,Windows 11 Home,2 kg 300 g,2022,SODIMM,4 GB,4,6 Hours
